Song,Artist,Mapper,BPM,Environment,~Duration,Y Valid,Y Plays,Y Rank,Y Combo,Y Score,Y NP10S,Y ~NPS,Y Notes,N Valid,N Plays,N Rank,N Combo,N Score,N NP10S,N ~NPS,N Notes,H Valid,H Plays,H Rank,H Combo,H Score,H NP10S,H ~NPS,H Notes,E Valid,E Plays,E Rank,E Combo,E Score,E NP10S,E ~NPS,E Notes,E+ Valid,E+ Plays,E+ Rank,E+ Combo,E+ Score,E+ NP10S,E+ ~NPS,E+ Notes,ID
$100 Bills,Jaroslav Beck,OST Vol. 1,210,,02:21,,,,,,,1.1,156,,,,,,,1.38,196,,,,,,,1.86,264,,,,,,,3.08,437,,,,,,,5.18,734,100Bills
Balearic Pumping,Jaroslav Beck,OST Vol. 1,111,,02:14,,,,,,,1.26,170,,,,,,,1.78,239,,,,,,,2.53,341,,,,,,,3.41,459,,,,,,,4.52,608,BalearicPumping
Beat Saber,Jaroslav Beck,OST Vol. 1,166,,01:50,,,,,,,0.85,94,,,,,,,1.05,116,,,,,,,1.83,202,,,,,,,2.42,267,,,,,,,5.72,632,BeatSaber
Breezer,Jaroslav Beck,OST Vol. 1,112.5,,02:01,,,,,,,0.87,106,,,,,,,1.42,173,,,,,,,2.24,272,,,,,,,2.93,356,,,,,,,4.65,566,Breezer
Commercial Pumping,Jaroslav Beck,OST Vol. 1,105,,02:21,,,,,,,0.96,136,,,,,,,1.5,213,,,,,,,2.32,329,,,,,,,3.15,447,,,,,,,5.98,848,CommercialPumping
Country Rounds (Sqeepo Remix),"Jaroslav Beck, Kings & Folk",OST Vol. 1,210,,02:50,,,,,,,0.89,151,,,,,,,1.22,208,,,,,,,1.73,295,,,,,,,3.19,544,,,,,,,4.54,773,CountryRounds
Escape (ft. Summer Haze),"Jaroslav Beck, Summer Haze ",OST Vol. 1,175,,02:41,,,,,,,0.97,157,,,,,,,1.21,195,,,,,,,1.78,287,,,,,,,2.47,399,,,,,,,3.71,600,Escape
Legend (ft. Backchat),"Jaroslav Beck, Backchat, Generdyn",OST Vol. 1,90,,01:57,,,,,,,1.27,150,,,,,,,1.56,184,,,,,,,1.83,216,,,,,,,2.45,289,,,,,,,5.41,638,Legend
Lvl Insane,Jaroslav Beck,OST Vol. 1,160,,01:50,,,,,,,0.93,102,,,,,,,1.26,139,,,,,,,1.8,198,,,,,,,3,330,,,,,,,5.33,587,LvlInsane
Turn Me On (ft. Tiny C),"Jaroslav Beck, Tiny C",OST Vol. 1,80,,01:51,,,,,,,1.09,121,,,,,,,1.41,156,,,,,,,2.2,244,,,,,,,3.07,341,,,,,,,5.97,663,TurnMeOn
Be There For You (ft. Kinnie Lane),Sedliv,OST Vol. 2,126,,02:51,,,,,,,0.85,146,,,,,,,1.45,250,,,,,,,1.88,323,,,,,,,3.02,519,,,,,,,4.4,757,BeThereForYou
Elixia,Mord Fustang,OST Vol. 2,128,,02:33,,,,,,,0.93,143,,,,,,,1.95,300,,,,,,,2.44,375,,,,,,,3.21,494,,,,,,,4.84,744,Elixia
